channel_name,month,spend,registros,costo_por_registro
email,2024-01,79.86,13,6.14
email,2024-02,85.12,22,3.87
email,2024-03,105.37,28,3.76
email,2024-04,90.09,17,5.3
email,2024-05,102.98,25,4.12
email,2024-06,100.8,22,4.58
email,2024-07,97.24,18,5.4
email,2024-08,102.55,24,4.27
email,2024-09,108.85,20,5.44
email,2024-10,110.88,24,4.62
email,2024-11,120.62,30,4.02
email,2024-12,129.2,25,5.17
google_ads,2024-01,11306.37,81,139.58
google_ads,2024-02,15065.97,96,156.94
google_ads,2024-03,12001.05,76,157.91
google_ads,2024-04,16792.39,85,197.56
google_ads,2024-05,19917.43,103,193.37
google_ads,2024-06,18370.48,86,213.61
google_ads,2024-07,28349.74,128,221.48
google_ads,2024-08,23657.77,101,234.24
google_ads,2024-09,30066.55,116,259.19
google_ads,2024-10,28369.23,105,270.18
google_ads,2024-11,37729.58,127,297.08
google_ads,2024-12,40154.55,131,306.52
meta,2024-01,7621.81,77,98.98
meta,2024-02,8538.25,78,109.46
meta,2024-03,6527.42,61,107.01
meta,2024-04,8247.01,74,111.45
meta,2024-05,7768.49,78,99.6
meta,2024-06,14278.07,180,79.32
meta,2024-07,6435.21,67,96.05
meta,2024-08,6405.08,63,101.67
meta,2024-09,8330.99,77,108.19
meta,2024-10,6322.63,60,105.38
meta,2024-11,8410.53,84,100.13
meta,2024-12,8774.88,83,105.72
organic,2024-01,0.0,22,0.0
organic,2024-02,0.0,22,0.0
organic,2024-03,0.0,29,0.0
organic,2024-04,0.0,27,0.0
organic,2024-05,0.0,32,0.0
organic,2024-06,0.0,31,0.0
organic,2024-07,0.0,35,0.0
organic,2024-08,0.0,35,0.0
organic,2024-09,0.0,32,0.0
organic,2024-10,0.0,46,0.0
organic,2024-11,0.0,36,0.0
organic,2024-12,0.0,39,0.0
